LAH7Z0O21||roaming;home|Application|all;all|any;any;any
LAH7Z0O22|Movistar-play4||Application|all;all|any;any;any
LAH7Z0O23|Movistar-play4|roaming;home||all;all|any;any;any
LAH7Z0O24|Movistar-play4|roaming;home|Application||any;any;any
LAH7Z0O25|Movistar-play4|roaming;home|Application|all;all|
LAH7Z0O26||roaming;home||all;all|any;any;any
LAH7Z0O27||roaming;home||all;all|
LAH7Z0O28|||||
LAH7Z0O29|Movistar-play4||Application||any;any;any
LAH7Z0O30|Movistar-play4|roaming;home|Application|all;all|any;any;any
